id,titulo,orientacion,carrera,resolucion,modalidad,institucion_id
1,ABOGADO/A,,ABOGACÍA,C.S - R.M./275/2015,PRESENCIAL,1
2,ACTUARIO,,,C.S,PRESENCIAL,1
3,AGRIMENSOR,,,R.M.2874/85 - R.M.1056/95,PRESENCIAL,1
4,ARQUITECTO/A,,ARQUITECTURA,R.M.0686/87 - R.M.0664/11 - R.M./664/2011 - R.M./1112/2017,PRESENCIAL,1
5,ARQUITECTO/A,,ARQUITECTURA,R.M./1424/2019,PRESENCIAL,1
6,BIÓLOGO,,,R.M.3317/94,PRESENCIAL,1
7,BIÓLOGO,,CIENCIAS BIOLÓGICAS,R.M./595/2017,PRESENCIAL,1
8,BIOQUÍMICO/A,,BIOQUÍMICA,R.M.0364/95 - R.M./1643/2012 - R.M./158/2016,PRESENCIAL,1
9,BIOQUÍMICO/A,,BIOQUÍMICA - DISPOSICIÓN,R.M./400/2019,PRESENCIAL,1
10,BIOQUÍMICO/A,,BIOQUÍMICA,R.M./3701/2017,PRESENCIAL,1
11,BIOQUÍMICO CLÍNICO,,,R.M.1037/05,PRESENCIAL,1
12,CONTADOR/A PÚBLICO/A,,CONTADOR PÚBLICO,O.HCS 222/73 - R.M.1118/09,PRESENCIAL,1
13,DISEÑADOR/A INDUSTRIAL,,,R.M.1127/95,PRESENCIAL,1
14,FARMACÉUTICO/A,,FARMACIA,R.M.0364/95 - R.M./0852/2013 - R.M./852/2013 - R.M./12/2015 - R.M./709/2017,PRESENCIAL,1
15,GEÓLOGO,,,R.M.0236/95,PRESENCIAL,1
16,GEÓLOGO/A,,CIENCIAS GEOLÓGICAS,R.M./2574/2019,PRESENCIAL,1
17,INGENIERO/A AERONÁUTICO/A,,INGENIERÍA AERONÁUTICA,R.M.0979/97 - R.M.0284/08 - R.M./1669/2014 - R.M./3958/2017,PRESENCIAL,1
18,INGENIERO/A AERONÁUTICO/A,,INGENIERÍA AERONÁUTICA,EN TRAMITE,PRESENCIAL,1
19,INGENIERO/A AGRIMENSOR/A,,AGRIMENSURA,R.M./2581/2019,PRESENCIAL,1
20,INGENIERO/A AGRIMENSOR/A,,INGENIERÍA EN AGRIMENSURA,C.S. - R.M.2874/85 - R.M.2115/07 - R.M./2417/2016 - R.M./979/2013,PRESENCIAL,1
21,INGENIERO/A AGRÓNOMO/A,,INGENIERÍA AGRONÓMICA,R.M./1540/2016,PRESENCIAL,1
22,INGENIERO/A AGRÓNOMO/A,,INGENIERÍA AGRONÓMICA,R.M./1036/2018,PRESENCIAL,1
23,INGENIERO/A AGRÓNOMO/A,,,O.HCS 010/78 - R.M.0991/09,PRESENCIAL,1
24,INGENIERO/A AGRÓNOMO/A,,INGENIERÍA AGRONÓMICA,R.M./4636/2017,PRESENCIAL,1
25,INGENIERO/A CIVIL,,INGENIERÍA CIVIL,EN TRAMITE,PRESENCIAL,1
26,INGENIERO/A ELECTRICISTA ELECTRÓNICO/A,,INGENIERÍA ELECTRICISTA ELECTRÓNICA,R.M./2367/2019,PRESENCIAL,1
27,INGENIERO/A ELECTRÓNICO/A,,,R.M.3324/94 - R.M.0456/10,PRESENCIAL,1
28,INGENIERO/A ELECTRÓNICO/A,,INGENIERÍA ELECTRÓNICA,R.M./474/2018,PRESENCIAL,1
29,INGENIERO/A ELECTRÓNICO/A,,INGENIERÍA ELECTRÓNICA,R.M./1473/2018,PRESENCIAL,1
30,INGENIERO/A INDUSTRIAL,,INGENIERÍA CIVIL,R.M.0607/87 - R.M.0282/88 - R.M.0608/87 - R.M.0391/99 - R.M.0739/07 - R.M./1859/2014 - R.M./3624/2017,PRESENCIAL,1
31,INGENIERO/A INDUSTRIAL,,INGENIERÍA  INDUSTRIAL,R.M.0387/99 - R.M.0571/08 - R.M./1712/2013 - R.M./902/2016,PRESENCIAL,1
32,INGENIERO AMBIENTAL,,INGENIERÍA AMBIENTAL,R.M./2211/2015,PRESENCIAL,1
33,INGENIERO/A QUÍMICO/A,,INGENIERÍA QUÍMICA,R.M.1614/95 - R.M.2114/07 - R.M./2110/2014 - R.M./598/2016,PRESENCIAL,1
34,INGENIERO/A ZOOTECNISTA,,INGENIERÍA ZOOTECNISTA,R.M./3867/2017,PRESENCIAL,1
35,INGENIERO BIOMÉDICO,,INGENIERÍA BIOMÉDICA,R.M.0553/03 - R.M.1106/08 - R.M./2365/2016 - R.M./1408/2013,PRESENCIAL,1
36,INGENIERO ELECTRICISTA-ELECTRONICO,,,C.S.,PRESENCIAL,1
37,INGENIERO EN COMPUTACION,,INGENIERÍA EN COMPUTACIÓN,R.M.0212/01 - R.M./1184/2014,PRESENCIAL,1
38,INGENIERO GEOGRAFO,,,R.M.2874/85,PRESENCIAL,1
39,INGENIERO MECÁNICO,,INGENIERÍA MECÁNICA,R.M.0269/00 - R.M.0403/08 - R.M./71/2015 - R.M./3128/2015,PRESENCIAL,1
40,INGENIERO MECANICO AERONAUTICO,,,R.M.0060/95,PRESENCIAL,1
41,INGENIERO MECÁNICO ELECTRICISTA,,INGENIERÍA MECÁNICA ELECTRICISTA,R.M.2103/94 - R.M.0780/07 - R.M./1288/2015,PRESENCIAL,1
42,INGENIERO QUIMICO INDUSTRIAL,,,R.M.3222/94,PRESENCIAL,1
43,LICENCIADO/A EN ADMINISTRACIÓN,,LICENCIATURA EN ADMINISTRACIÓN,O.HCS 222/73 - R.M.1118/09,PRESENCIAL,1
44,LICENCIADO/A EN AGROALIMENTOS,,LICENCIATURA EN AGROALIMENTOS,R.M./2460/2019,PRESENCIAL,1
45,LICENCIADO/A EN ANTROPOLOGÍA,,LICENCIATURA EN ANTROPOLOGÍA,R.M./28/2018,PRESENCIAL,1
46,LICENCIADO/A EN ARTES VISUALES,,LICENCIATURA EN ARTES VISUALES,R.M./987/2013,PRESENCIAL,1
47,LICENCIADO/A EN CIENCIA POLÍTICA,,LICENCIATURA EN CIENCIA POLÍTICA,R.M.1788/10 - R.M./1788/2010,PRESENCIAL,1
48,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN,R.M./1460/2019,PRESENCIAL,1
49,LICENCIADO/A EN CIENCIAS DE LA EDUCACIÓN,,,C.S. - R.M.2785/85 - R.M.0762/03,PRESENCIAL,1
50,LICENCIADO/A EN DIRECCIÓN CORAL,,LICENCIATURA EN DIRECCIÓN CORAL,R.M./2611/2019,PRESENCIAL,1
51,LICENCIADO/A EN ECONOMÍA,,LICENCIATURA EN ECONOMÍA,O.HCS 222/73 - R.M.1118/09,PRESENCIAL,1
52,LICENCIADO/A EN ENFERMERÍA,,,R.M.1086/11,PRESENCIAL,1
53,LICENCIADO/A EN ENFERMERÍA,,LICENCIATURA EN ENFERMERÍA-CICLO DE COMPLEMENTACIÓN CURRICULAR,R.M.1082/94 - R.M./1086/2011,PRESENCIAL,1
54,LICENCIADO/A EN FILOSOFÍA,,LICENCIATURA EN FILOSOFÍA,EN TRAMITE,PRESENCIAL,1
55,LICENCIADO/A EN FILOSOFÍA,,LICENCIATURA EN FILOSOFÍA,C.S - R.M./1077/2012,PRESENCIAL,1
56,LICENCIADO/A EN FONOAUDIOLOGÍA,,FONOAUDIOLOGÍA,EN TRAMITE,PRESENCIAL,1
57,LICENCIADO/A EN GESTIÓN UNIVERSITARIA,,LICENCIATURA EN GESTIÓN UNIVERSITARIA,R.M./1768/2019,PRESENCIAL,1
58,LICENCIADO/A EN HISTORIA,,LICENCIATURA EN HISTORIA,C.S - R.M./1194/2012 - R.M./1195/2012,PRESENCIAL,1
